streak count,day,date,,type
,Thursday,10.04.2025,,football
,Tuesday,08.04.2025,,football
60,Monday,07.04.2025,,running
,Sunday,06.04.2025,,running
,Tuesday,01.04.2025,,running
59,Monday,31.03.2025,,running
,Thursday,27.03.2025,,football
,Wednesday,26.03.2025,,running
58,Monday,24.03.2025,,running
,Sunday,23.03.2025,,running
,Thursday,20.03.2025,,football
,Wednesday,19.03.2025,,running
57,Monday,17.03.2025,,running
,Sunday,16.03.2025,,swimming
,Thursday,13.03.2025,,football
,Wednesday,12.03.2025,,running
56,Monday,10.03.2025,,running
,Sunday,09.03.2025,,swimming
,Thursday,06.03.2025,,football
,Wednesday,05.03.2025,,running
55,Monday,03.03.2025,,running
,Sunday,02.03.2025,,swimming
,Thursday,27.02.2025,,football
,Tuesday,25.02.2025,,football
54,Monday,24.02.2025,,running
,Thursday,13.02.2025,,football
53,Tuesday,11.02.2025,,football
,Sunday,09.02.2025,,running
52,Thursday,06.02.2025,,football
,Sunday,02.02.2025,,football
,Saturday,01.02.2025,,football
51,Thursday,30.01.2025,,football
,Friday,24.01.2025,,football
,Thursday,23.01.2025,,football
50,Tuesday,21.01.2025,,football
,Sunday,19.01.2025,,football
49,Thursday,16.01.2025,,football
48,Thursday,09.01.2025,,football
,Sunday,05.01.2025,,football
47,Tuesday,31.12.2024,,football
46,Thursday,26.12.2024,,football
,Thursday,19.12.2024,,football
45,Tuesday,17.12.2024,,football
,Sunday,15.12.2024,,football
,Thursday,12.12.2024,,football
44,Tuesday,10.12.2024,,football
,Sunday,08.12.2024,,swimming
,Thursday,05.12.2024,,football
,Tuesday,03.12.2024,,football
43,Monday,02.12.2024,,running
,Sunday,01.12.2024,,running
,Thursday,28.11.2024,,football
42,Wednesday,27.11.2024,,running
,Thursday,21.11.2024,,football
,Wednesday,20.11.2024,,running
41,Tuesday,19.11.2024,,football
,Saturday,16.11.2024,,running
40,Thursday,14.11.2024,,football
39,Thursday,07.11.2024,,football
,Thursday,24.10.2024,,football
37,Tuesday,22.10.2024,,running
,Saturday,19.10.2024,,running
,Friday,18.10.2024,,running
,Thursday,17.10.2024,,basketball
,Wednesday,16.10.2024,,basketball
