month	percentage	swd_act	wdays	agd	bufr	calculated
January	48.00%	11	23	50.00%	40.00%	47.83%
February	35.00%	7	20	50.00%	40.00%	35.00%
March	57.00%	12	21	60.00%	48.00%	57.14%
April	45.00%	10	22	60.00%	48.00%	45.45%
May	50.00%	11	22	60.00%	48.00%	50.00%
June	67.00%	14	21	60.00%	48.00%	66.67%
July	61.00%	14	23	60.00%	48.00%	60.87%
August	38.00%	8	21	60.00%	48.00%	38.10%
September	55.00%	12	22	60.00%	48.00%	54.55%
October	52.00%	12	23	60.00%	48.00%	52.17%
November	55.00%	11	20	60.00%	48.00%	55.00%
December		7	21	60.00%	48.00%	33.33%
projected (incl Dec)	49.81%	129	259	58.33%	46.67%	49.81%
actual - to Dec1	51.26%	122	238			51.26%
